0.562434	0.323455	San Juan del Río
0.570275	0.260429	San Juan de las Huertas
0.690115	0.196354	Tuxtepec
0.649791	0.209491	San Gabriel Chilac
0.656719	0.199859	San Gabriel Casa Blanca
0.569966	0.263038	San Francisco Tlalcilalcalpan
0.600054	0.265715	San Francisco Acuautla
0.619892	0.252228	Sanctorum
0.805043	0.121373	San Cristóbal de las Casas
0.8541	0.166722	San Carlos
0.572075	0.279897	San Bartolo del Llano
0.594945	0.2918	San Bartolo Cuautlalpan
0.720201	0.216274	San Andres Tuxtla
0.61317	0.25249	San Andrés Calpan
0.720592	0.0910997	Salina Cruz
0.562577	0.408715	Río Verde
0.625171	0.632957	Río Bravo
0.657031	0.237867	Río Blanco
0.618464	0.637905	Reynosa
0.634925	0.259424	Rafael Lara Grajales
0.941648	0.283596	Estado de Quintana Roo
0.565052	0.357293	Estado de Querétaro de Arteaga
0.658714	0.0737616	Puerto Escondido
0.584798	0.225451	Puente de Ixtla
0.621615	0.249142	Puebla
0.628276	0.237534	Estado de Puebla
0.589026	0.315799	Progreso de Alvaro Obregon
0.903798	0.373071	Progreso de Castro
0.583518	0.281944	Progreso Industrial
0.646107	0.331489	Poza Rica de Hidalgo
0.588693	0.269777	Polanco
0.988494	0.336698	Playa del Carmen
0.615921	0.372317	Platón Sánchez
0.786302	0.0635808	Pijijiapan
0.789386	0.164389	Pichucalco
0.927701	0.309081	Peto
0.653271	0.277882	Perote
0.670352	0.245194	Paso del Macho
0.786148	0.213647	Paraiso
0.650544	0.326702	Papantla de Olarte
0.622175	0.415536	Pánuco
0.619366	0.264223	Panotla
0.640187	0.241159	Palmarito Tochapán
0.826774	0.164363	Palenque
0.604088	0.308485	Pachuca de Soto
0.602047	0.248786	Ozumba de Alzate
0.911364	0.319007	Oxkutzkab
0.738199	0.191601	Oteapan
0.657937	0.238511	Orizaba
0.614819	0.11907	Ometepec
0.730662	0.187539	Oluta
0.780847	0.123062	Ocozocoautla de Espinosa
0.580186	0.26174	Ocoyoacac
0.823103	0.131026	Ocosingo
0.670379	0.139816	Oaxaca de Juárez
0.677756	0.1362	Estado de Oaxaca
0.562303	0.615235	Estado de Nuevo León
0.578256	0.715259	Nuevo Laredo
0.656116	0.237428	Nogales
0.585169	0.281932	Nicolás Romero
0.614209	0.24948	Nealtican
0.587385	0.273195	Naucalpan de Juárez
0.638616	0.376687	Naranjos
0.746779	0.195407	Villa Nanchital
0.61062	0.273964	Ciudad de Nanacamilpa
0.901607	0.32899	Muna
0.915809	0.362583	Motul
0.818011	0.0459072	Motozintla de Mendoza
0.59529	0.232928	Estado de Morelos
0.567956	0.588838	Montemorelos
0.619471	0.250815	Santiago Momoxpan
0.588232	0.31475	Mixquiahuala de Juarez
0.666147	0.298146	Misantla
0.632911	0.430301	Miramar
0.606038	0.309735	Mineral del Monte
0.741934	0.191432	Minatitlan
0.594526	0.257387	Milpa Alta
0.674602	0.0993194	Miahuatlán de Porfirio Díaz
0.57544	0.261081	Metepec
0.904804	0.355932	Mérida
0.892136	0.33433	Maxcanú
0.725937	0.129513	Matías Romero
0.644632	0.627011	Heroica Matamoros
0.659258	0.305934	Martínez de la Torre
0.796495	0.0496188	Mapastepec
0.617658	0.452794	Ursulo Galván
0.652136	0.236263	Maltrata
0.606145	0.149742	Malinaltepec
0.588324	0.265104	Magdalena Contreras
0.806519	0.178292	Macuspana
0.595924	0.289611	Reyes Acozac
0.596046	0.266842	Los Reyes La Paz
0.57663	0.570597	Linares
0.637696	0.272053	Libres
0.578413	0.26271	Lerma de Villada
0.710094	0.22626	Lerdo de Tejada
0.82682	0.0982079	Las Margaritas
0.757474	0.187788	Las Choapas
0.579896	0.228322	La Joya
0.689301	0.224637	La Isla
0.631298	0.343633	La Ceiba
0.906725	0.35369	Kanasín
0.599253	0.252398	Juchitepec de Mariano Riva Palacio
0.726585	0.105027	Juchitán de Zaragoza
0.589343	0.225451	Jojutla
0.589426	0.240191	Jiutepec
0.577715	0.299363	Jilotepec de Molina Enríquez
0.791131	0.20122	Jalpa de Méndez
0.581487	0.256869	Xalatlaco
0.664037	0.27611	Xalapa de Enríquez
0.651093	0.291149	Jalacingo
0.612938	0.224721	Izúcar de Matamoros
0.924561	0.353721	Izamal
0.723864	0.112905	San Jerónimo Ixtepec
0.572968	0.238107	Ixtapan de la Sal
0.599155	0.264189	Ixtapaluca
0.593076	0.2665	Iztapalapa
0.659255	0.238734	Ixtac Zoquitlán
0.592064	0.268595	Iztacalco
0.588133	0.328463	Ixmiquilpan
1	0.370069	Isla Mujeres
0.577498	0.210779	Iguala de la Independencia
0.896275	0.358245	Hunucmá
0.810828	0.0334027	Huixtla
0.584226	0.208424	Huitzuco de los Figueroa
0.780279	0.18229	Huimanguillo
0.614441	0.365031	Huejutla de Reyes
0.61484	0.25556	Huejotzingo
0.626465	0.311624	Huauchinango
0.662332	0.254969	Huatusco de Chicuellar
0.635548	0.180854	Ciudad de Huajuapam de León
0.59529	0.329656	Estado de Hidalgo
0.887763	0.311822	Hecelchakán
0.65843	0.327085	Gutiérrez Zamora
0.562303	0.173049	Estado de Guerrero
0.821484	0.0621592	Frontera Comalapa
0.804909	0.221501	Frontera
0.661263	0.241665	Fortín de las Flores
0.956648	0.278667	Felipe Carrillo Puerto
0.589792	0.260565	Distrito Federal
0.565702	0.338754	Ezequiel Montes
0.867579	0.22513	Escárcega
0.589284	0.237724	Emiliano Zapata
0.833903	0.177134	Emiliano Zapata
0.68894	0.250855	El Tejar
0.596151	0.453637	Ciudad Mante
0.584742	0.305633	El Llano
0.593112	0.280864	Ecatepec
0.890318	0.319628	Dzitbalché
0.787502	0.195097	Cunduacán
0.67037	0.236455	Cuitláhuac
0.668493	0.13496	Cuilapan de Guerrero
0.751621	0.190123	Cuichapa
0.587678	0.242662	Cuernavaca
0.619325	0.251672	Cuautlancingo
0.597086	0.235946	Cuautla Morelos
0.589397	0.283796	Cuautitlán
0.618046	0.303986	Cuautepec de Hinojosa
0.585596	0.266641	Cuajimalpa
0.99291	0.329712	San Miguel de Cozumel
0.588265	0.289706	Coyotepec
0.589955	0.26591	Coyoacán
0.739262	0.191359	Cosoleacaque
0.659718	0.250768	Heroica Coscomatepec de Bravo
0.700894	0.211791	Cosamaloapan de Carpio
0.663531	0.240436	Córdoba
0.622787	0.264949	San Bernardino Contla
0.821767	0.0944526	Comitán
0.785821	0.206019	Comalcalco
0.645818	0.328937	Coatzintla
0.745629	0.19885	Coatzacoalcos
0.662534	0.271746	Coatepec
0.591975	0.281819	Coacalco
0.590474	0.508838	Ciudad Victoria
0.59474	0.411645	Ciudad Valles
0.646517	0.246161	Ciudad Serdán
0.609319	0.289615	Ciudad Sahagun
0.594801	0.268889	Ciudad Nezahualcoyotl
0.591991	0.653005	Ciudad Miguel Alemán
0.655399	0.236032	Ciudad Mendoza
0.633679	0.427616	Ciudad Madero
0.561917	0.40927	Ciudad Fernández
0.591079	0.270429	Mexico City
0.831806	0.227175	Ciudad del Carmen
0.76952	0.11873	Cintalapa de Figueroa
0.618264	0.250287	Cholula
0.578606	0.166633	Chilpancingo de los Bravos
0.589471	0.169065	Chilapa de Alvarez
0.62723	0.293102	Chignahuapan
0.598627	0.277666	Chiconcuac
0.598522	0.269788	San Vicente Chicoloapan
0.572983	0.172626	Chichihualco
